Table,Column,SampleIndex,OriginalReal,NormalizedDecimal,MigratedCents,Difference,Status
Orcamentos,Acrescimo,6,0.0,0,0,0,PASS
Orcamentos,Acrescimo,7,0.0,0,0,0,PASS
Orcamentos,Acrescimo,8,0.0,0,0,0,PASS
Orcamentos,Acrescimo,9,0.0,0,0,0,PASS
Orcamentos,Acrescimo,10,0.0,0,0,0,PASS
Orcamentos,Acrescimo,11,0.0,0,0,0,PASS
Orcamentos,Acrescimo,12,0.0,0,0,0,PASS
Orcamentos,Acrescimo,13,0.0,0,0,0,PASS
Orcamentos,Acrescimo,14,0.0,0,0,0,PASS
Orcamentos,Total,0,120.0,120,12000,0,PASS
Orcamentos,Total,1,80.0,80,8000,0,PASS
Orcamentos,Total,2,180.0,180,18000,0,PASS
Orcamentos,Total,3,120.0,120,12000,0,PASS
Orcamentos,Total,4,120.0,120,12000,0,PASS
Orcamentos,Total,5,480.0,480,48000,0,PASS
Orcamentos,Total,6,480.0,480,48000,0,PASS
Orcamentos,Total,7,480.0,480,48000,0,PASS
Orcamentos,Total,8,480.0,480,48000,0,PASS
Orcamentos,Total,9,480.0,480,48000,0,PASS
Orcamentos,Total,10,480.0,480,48000,0,PASS
Orcamentos,Total,11,480.0,480,48000,0,PASS
Orcamentos,Total,12,480.0,480,48000,0,PASS
Orcamentos,Total,13,480.0,480,48000,0,PASS
Orcamentos,Total,14,480.0,480,48000,0,PASS
Orcamentos,LucroEstimado,0,120.0,120,12000,0,PASS
Orcamentos,LucroEstimado,1,80.0,80,8000,0,PASS
Orcamentos,LucroEstimado,2,180.0,180,18000,0,PASS
Orcamentos,LucroEstimado,3,120.0,120,12000,0,PASS
Orcamentos,LucroEstimado,4,120.0,120,12000,0,PASS
Orcamentos,LucroEstimado,5,480.0,480,48000,0,PASS
Orcamentos,LucroEstimado,6,480.0,480,48000,0,PASS
Orcamentos,LucroEstimado,7,480.0,480,48000,0,PASS
Orcamentos,LucroEstimado,8,480.0,480,48000,0,PASS
Orcamentos,LucroEstimado,9,480.0,480,48000,0,PASS
Orcamentos,LucroEstimado,10,480.0,480,48000,0,PASS
Orcamentos,LucroEstimado,11,480.0,480,48000,0,PASS
Orcamentos,LucroEstimado,12,480.0,480,48000,0,PASS
Orcamentos,LucroEstimado,13,480.0,480,48000,0,PASS
Orcamentos,LucroEstimado,14,480.0,480,48000,0,PASS
Orcamentos,ComissaoVendedor,0,6.0,6,600,0,PASS
Orcamentos,ComissaoVendedor,1,4.0,4,400,0,PASS
Orcamentos,ComissaoVendedor,2,0.0,0,0,0,PASS
Orcamentos,ComissaoVendedor,3,6.0,6,600,0,PASS
Orcamentos,ComissaoVendedor,4,6.0,6,600,0,PASS
Orcamentos,ComissaoVendedor,5,0.0,0,0,0,PASS
Orcamentos,ComissaoVendedor,6,0.0,0,0,0,PASS
Orcamentos,ComissaoVendedor,7,0.0,0,0,0,PASS
Orcamentos,ComissaoVendedor,8,0.0,0,0,0,PASS
Orcamentos,ComissaoVendedor,9,0.0,0,0,0,PASS
Orcamentos,ComissaoVendedor,10,0.0,0,0,0,PASS
Orcamentos,ComissaoVendedor,11,0.0,0,0,0,PASS
Orcamentos,ComissaoVendedor,12,0.0,0,0,0,PASS
Orcamentos,ComissaoVendedor,13,0.0,0,0,0,PASS
Orcamentos,ComissaoVendedor,14,0.0,0,0,0,PASS
Orcamentos,ImpostosEstimados,0,21.6,21.6,2160,0,PASS
Orcamentos,ImpostosEstimados,1,14.4,14.4,1440,0,PASS
Orcamentos,ImpostosEstimados,2,0.0,0,0,0,PASS
Orcamentos,ImpostosEstimados,3,21.6,21.6,2160,0,PASS
Orcamentos,ImpostosEstimados,4,21.6,21.6,2160,0,PASS
Orcamentos,ImpostosEstimados,5,0.0,0,0,0,PASS
Orcamentos,ImpostosEstimados,6,0.0,0,0,0,PASS
Orcamentos,ImpostosEstimados,7,0.0,0,0,0,PASS
Orcamentos,ImpostosEstimados,8,0.0,0,0,0,PASS
Orcamentos,ImpostosEstimados,9,0.0,0,0,0,PASS
Orcamentos,ImpostosEstimados,10,0.0,0,0,0,PASS
Orcamentos,ImpostosEstimados,11,0.0,0,0,0,PASS
Orcamentos,ImpostosEstimados,12,0.0,0,0,0,PASS
Orcamentos,ImpostosEstimados,13,0.0,0,0,0,PASS
Orcamentos,ImpostosEstimados,14,0.0,0,0,0,PASS
